scheme_id,rule_id,section,attribute,operator,normalized_value,evidence_text
S046,S046-E004,,prior_benefit,INFORMATION,The benefit of this scheme is available to each candidate only once.,The benefit of this scheme is available to each candidate only once.
S046,S046-E005,,prior_benefit,INFORMATION,The applicant should not have received the same incentive from any other sources previously.,The applicant should not have received the same incentive from any other sources previously.
S047,S047-E001,,residency,INFORMATION,The student should be a native of Andhra Pradesh.,The student should be a native of Andhra Pradesh.
S047,S047-E002,,education,INFORMATION,"The student should be visually challenged, hearing challenged, speech impaired, and orthopedically challenged.","The student should be visually challenged, hearing challenged, speech impaired, and orthopedically challenged."
S047,S047-E003,,education,INFORMATION,The student should be pursuing postgraduate or professional courses.,The student should be pursuing postgraduate or professional courses.
S047,S047-E004,,education,INFORMATION,The laptop is sanctioned once in the lifetime of the student.,The laptop is sanctioned once in the lifetime of the student.
S048,S048-E001,,education,INFORMATION,The applicant should be a Student.,The applicant should be a Student.
S048,S048-E002,,social_category,INFORMATION,The applicant should be from a Scheduled Caste.,The applicant should be from a Scheduled Caste.
S048,S048-E003,,income,<=,"₹2,50,000","The annual income of the family of the applicant should not exceed ₹2,50,000/-."
S048,S048-E004,,education,INFORMATION,The applicant should be enrolled in a recognized post-matriculation/post-secondary course in India.,The applicant should be enrolled in a recognized post-matriculation/post-secondary course in India.
S048,S048-E005,,education,INFORMATION,The applicant should not be availing of any other scholarship for the same course from any other source.,The applicant should not be availing of any other scholarship for the same course from any other source.
S049,S049-E001,,education,INFORMATION,Education Loans taken under the IBA Model Education Loan Scheme.,Education Loans taken under the IBA Model Education Loan Scheme.
S049,S049-E002,,income,<=,₹4,The benefit of the Scheme is applicable to students belonging to economically weaker sections having gross parental/ family income up to ₹4.5 lakhs per annum from all sources.
